@relation features_processed

@attribute OutterAccess1 numeric
@attribute OutterAccess2 numeric
@attribute OutterAccess3 numeric
@attribute InnerAccess1 numeric
@attribute InnerAccess2 numeric
@attribute InnerAccess3 numeric
@attribute ConstantAccess1 numeric
@attribute ConstantAccess2 numeric
@attribute ConstantAccess3 numeric
@attribute OutterWrite1 numeric
@attribute OutterWrite2 numeric
@attribute OutterWrite3 numeric
@attribute InnerWrite1 numeric
@attribute InnerWrite2 numeric
@attribute InnerWrite3 numeric
@attribute BasicOp1 numeric
@attribute BasicOp2 numeric
@attribute BasicOp3 numeric
@attribute SinOp1 numeric
@attribute SinOp2 numeric
@attribute SinOp3 numeric
@attribute PowOp1 numeric
@attribute PowOp2 numeric
@attribute PowOp3 numeric
@attribute MinOp1 numeric
@attribute MinOp2 numeric
@attribute MinOp3 numeric
@attribute DataTo numeric
@attribute DataFrom numeric
@attribute Op numeric
@attribute CPUTime numeric
@attribute GPUTime numeric
@attribute GPUFaster {0,1}

@data
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,400,8,3,218531,17705283,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,400,8,3,88058,17145513,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,400,8,3,94025,16990617,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,800,800,0,150577866,48109506,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,800,800,0,114204607,48123054,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,800,800,0,73676355,48125106,1
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,800,800,0,73348444,48535720,1
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,800,8,3,354853,18121661,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,800,8,3,419385,17789836,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,800,8,3,161740,17145358,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,800,8,3,708549,16951097,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1200,1200,0,150592989,48227765,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1200,1200,0,112659193,48407285,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1200,1200,0,31876403,48033970,0
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1200,1200,0,74771233,48950878,1
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1200,8,3,858549,18235981,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,1200,8,3,693576,17819069,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1200,8,3,247559,17323939,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1200,8,3,710339,17179132,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1600,1600,0,150384707,47993121,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1600,1600,0,112843356,48138157,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1600,1600,0,70375569,48148860,1
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1600,1600,0,38468912,49340655,0
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1600,8,3,930640,18098576,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,1600,8,3,1222636,17955338,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1600,8,3,7297986,17241672,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1600,8,3,179457,17246598,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,2000,0,170216767,48512621,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,2000,0,31904151,48039065,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2000,2000,0,70972647,48265988,1
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2000,2000,0,76703907,49751622,1
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2000,8,3,616747,19589326,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,2000,8,3,648178,17878555,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2000,8,3,3190254,20847979,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2000,8,3,160905,17118909,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2400,2400,0,170231009,48059791,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2400,2400,0,31810006,48420363,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2400,2400,0,31643997,48027556,0
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2400,2400,0,80914932,49087433,1
